"Marca temporal","¿Usas herramientas de inteligencia artificial (como ChatGPT, Gemini, DeepSeek, etc.)?","Sexo","Municipio ","1 Creo que es importante aprender sobre inteligencia artificial (IA)","
2 Las clases de inteligencia artificial (IA) son importantes","3 Creo que en la escuela se debería impartir clases de inteligencia artificial (IA)","4 Creo que todos los estudiantes deberían aprender sobre inteligencia artificial (IA) en la escuela","5 La inteligencia artificial (IA) es muy importante para el desarrollo de la sociedad","6 La inteligencia artificial (IA) está relacionada con mi vida","7 Utilizaré la inteligencia artificial (IA) para resolver problemas de la vida cotidiana","8 La inteligencia artificial (IA) me ayuda a resolver problemas en la vida real","9 En el futuro necesitare inteligencia artificial (IA) en mi vida","10 La inteligencia artificial (IA) es necesaria para todos","11 Quiero trabajar en el campo de la inteligencia artificial (IA)","12 Elegiré un trabajo en el campo de la inteligencia artificial (IA)","13 Participaría en un club relacionado con la inteligencia artificial (IA) si lo hubiera","14 Me gusta utilizar objetos relacionados con la inteligencia artificial (IA)","15 Es divertido aprender sobre la inteligencia artificial (IA)","
16 Quiero seguir aprendiendo sobre la inteligencia artificial (IA)","17 Me interesa los programas de televisión o los videos en línea relacionados con la inteligencia artificial (IA)","18 Quiero hacer algo que haga la vida más humana más cómoda a través de la inteligencia artificial (IA)","
19 Me interesa el desarrollo de la inteligencia artificial (IA)","
20 Es interesante utilizar la inteligencia artificial (IA)","21 Creo que debería haber más horas de clase dedicadas a la inteligencia artificial (IA) en la escuela","22 Creo que puedo manejar bien la inteligencia artificial (IA)"
"2025/05/30 10:49:01 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Guadalupe Victoria","4","4","4","4","4","3","1","1","1","2","1","3","3","3","3","3","3","1","3","3","3","3"
"2025/05/30 10:55:41 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","5","5","5","5","5","4","4","4","5","5","5","4","5","5","4","4"
"2025/05/30 10:57:07 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/30 11:00:01 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","4","4","4","4","4","5","5","1","5","4","4","4","4","4","4","4","1","4","3","5","4"
"2025/05/30 11:06:19 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 11:08:59 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 11:21:31 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","4","1","2","2","2","1","1","1","1","1","1","1","1","2","2","1","3","2","1","2","1","1"
"2025/05/30 11:25:48 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Guadalupe Victoria","3","2","1","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","1","2","1","3"
"2025/05/30 11:39:15 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/30 11:43:36 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 11:51:30 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 11:57:00 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 12:18:52 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Santa Clara","3","3","2","3","3","2","2","2","5","3","2","2","2","3","3","3","3","3","3","3","2","3"
"2025/05/30 12:22:50 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Santa Clara","1","1","1","1","2","1","1","1","1","1","1","2","2","2","1","2","2","2","2","2","2","2"
"2025/05/30 12:26:25 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Santa Clara","2","2","4","2","2","2","2","2","2","2","2","1","1","2","2","1","2","2","1","1","4","2"
"2025/05/30 12:27:02 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Guadalupe Victoria","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/05/30 12:27:38 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Santa Clara","5","5","4","4","5","4","1","2","1","4","4","1","4","4","4","4","4","4","4","4","3","1"
"2025/05/30 12:27:51 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","4","3","3","2","2","1","1","2","1","1","1","3","1","1","1","2","1","5","4","1","5"
"2025/05/30 12:29:51 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Santa Clara","5","5","5","5","3","3","1","1","3","1","1","1","1","1","3","1","1","3","1","1","1","1"
"2025/05/30 12:33:38 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Santa Clara","4","5","4","5","4","4","3","3","5","5","4","4","4","4","5","4","4","5","4","4","3","3"
"2025/05/30 12:34:17 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","1","3","3","1","3","5","3","5","1","1","5","5","5","3","4","1","5","5","1","5"
"2025/05/30 12:35:15 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Santa Clara","5","3","2","2","4","4","4","4","4","4","3","3","3","4","3","2","1","3","3","3","1","3"
"2025/05/30 12:39:16 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","3","4","4","3","3","3","4","2","1","1","1","1","2","1","2","1","1","1","3","3","3"
"2025/05/30 12:41:11 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","4","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","5","5","5","5","4"
"2025/05/30 12:48:59 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 12:59:14 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","3","4","3","4","3","3","3","3","3","2","3","2","2","3","3","1","2","2","2","2","3"
"2025/05/30 1:00:54 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 1:17:51 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 1:24:40 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","4","3","4","4","3","3","3","4","4","1","3","3","3","4","3","3","4","3","3","3","2"
"2025/05/30 1:26:03 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 1:29:57 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 1:33:25 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","3","2","2","2","4","5","2","2","1","2","1","1","1","1","1","1","1","1","2","3","1","5"
"2025/05/30 1:40:21 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","5","3","4","3","3","4","4","4","4","5","4","4","4","4","3","3"
"2025/05/30 1:42:17 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","5","4","5","4","4","4","5","5","5","5","5","5","5","5","5","5","4","5","5","5","4"
"2025/05/30 1:49:28 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 2:01:49 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","3","4","2","2","5","4","5","5","5","5","5","5","5","5","5","5","5","4"
"2025/05/30 2:05:11 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","2","3","3","2","2","2","1","1","2","2","2","2","2","4","4","1","2","2","4","2","2"
"2025/05/30 2:05:30 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Guadalupe Victoria","1","1","1","1","1","1","1","2","3","2","1","1","1","1","2","2","2","4","1","1","2","1"
"2025/05/30 2:13:00 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 2:14:55 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 2:40:57 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Guadalupe Victoria","4","4","3","3","4","5","5","4","4","4","3","3","4","4","4","5","3","4","3","3","2","3"
"2025/05/30 2:52:50 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 3:09:36 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","3","2","2","1","3","5","3","5","3","5","5","5","5","3","3","3","5","3","4","3","3"
"2025/05/30 3:14:26 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","3","3","5","4","5","3","2","1","3","3","5","5","5","5","5","5","5","3","3","5","5","5"
"2025/05/30 3:19:58 p.m. GMT-6","","Hombre","Durango","5","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/30 3:26:40 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 3:28:07 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","2","3","1","2","4","3","3","3","1","1","3","1","1","3","1","4","4","3","3","3","4"
"2025/05/30 3:30:34 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","5","5","3","5","1","5","5","5","1","4","5","4","5","5","4","5","5","4","5","5","1"
"2025/05/30 3:33:48 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Santa Clara","3","4","3","3","2","4","3","3","4","3","3","4","4","4","4","4","3","4","2","3","3","3"
"2025/05/30 3:35:20 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 3:41:44 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 3:42:22 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","1","3","3","3","1","1","1","2","5","3","1","5","3","4","2","5"
"2025/05/30 3:46:51 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 3:47:55 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 3:49:35 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","4","4","1","1","2","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1"
"2025/05/30 3:52:17 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","2","2","3","3","3","1","2","3","2","4","4","4","4","5","4","3","4","4","4","3","4"
"2025/05/30 4:00:06 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 4:04:16 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/30 4:20:25 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 4:23:31 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 4:31:30 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 4:32:45 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 4:33:39 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 4:35:52 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","3","2","1","3","2","1","1","2","1","3","4","3","5","5","1","5","3","3","5","1","1"
"2025/05/30 5:14:27 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 5:23:46 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/30 5:34:18 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 5:41:42 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","4","5","5","4","4","5","4","5","4","4","4","5","5","4","4","4","4","4","5","4","5"
"2025/05/30 6:07:42 p.m. GMT-6","","Mujer","Durango","1","1","1","1","1","1","1","1","2","5","5","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/30 6:14:18 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","3","3","3","3","1","1","1","2","2","3","1","1","1","2","2","1","1","1","2","1","1"
"2025/05/30 6:16:28 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","4","5","5","4","4","3","3","3","3","3","3","2","2","2","3","3","3","3","3","3","3"
"2025/05/30 6:17:28 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","2","3","3","3","1","3","3","3","3","3","1","1","2","3","3","3","3","3","3","2","3"
"2025/05/30 6:19:03 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","2","3","3","3","1","2","3","2","2","3","3","3","2","3","3","3","3","2","3","3"
"2025/05/30 6:21:19 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 6:22:58 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/30 6:37:53 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","4","4","5","5","5","5","5","5","5","3","3","3","5","5","5","5","3","3","4","4","4"
"2025/05/30 6:39:12 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 6:39:56 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 6:40:17 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 6:40:42 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","4","2","2","4","2","2","2","5","4","4","4","5","4","4","5","5","4","5","5","4","3"
"2025/05/30 6:40:56 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","4","4","4","4","3","3","3","3","4","4","3","3","3","3","3","3","3","3","4","3","3"
"2025/05/30 6:45:56 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","2","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4"
"2025/05/30 6:49:19 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 6:49:39 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","4","3","3","2","2","2","2","3","3","2","4","3","4","3","4","5","5","3","2","3","2","4"
"2025/05/30 6:49:50 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","4","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/30 6:50:22 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/30 6:51:41 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Santa Clara","5","5","5","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2025/05/30 6:58:38 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","4","4","4","4","3","3","3","4","3","3","3","3","3","3","4","3","3","3","4","4","3"
"2025/05/30 7:00:26 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","5","4","2","3","4","4","4","3","3","4","5","5","4","4","4","4","4","4"
"2025/05/30 7:11:17 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 7:12:48 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","4","5","1","3","2","4","2","3","3","2","2","3","4","3","4","3","3","4","4","4","2"
"2025/05/30 7:16:50 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","5","2","5","5","2","2","2","4","5","5","3","3","4","4","3","4"
"2025/05/30 7:29:11 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 7:39:59 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","3","3","3","3","4","4","4","4","3","4","3","4","4","3","3","3","3","4","3","3","3"
"2025/05/30 7:51:40 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","3","3","2","3","1","1","3","3","3","3","3","4","3","3","3","2","3","3","3","3"
"2025/05/30 7:57:55 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","2","2","2","4","5","3","3","3","3","5","3","3","4","2","3","4","3","3","3","4","3"
"2025/05/30 7:57:59 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","2","2","2","2","2","2","2","2","2","2","2","4","3","2","2","3","3","2","3","2","3","2"
"2025/05/30 8:00:32 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 8:09:03 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 8:16:22 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","3","4","3","3","5","5","4","4","3","5","3","4","4","3","5","4","4","5","4","4","3","4"
"2025/05/30 8:17:46 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","3","1","4","4","3","3","3","3","3","3","3","2","3","3","3","3","3"
"2025/05/30 8:26:59 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","3","5","3","3","3","2","2","2","3","2","2","2","3","5","1","2","2","2","5","1","2","2"
"2025/05/30 8:45:09 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","3","3","4","3","4","4","5","4","5","5","5","5","5","4","5","4","4","4"
"2025/05/30 8:53:56 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","1","4","3","3","1","1","1","3","3","3","3","2","3","3","3","3","3","3"
"2025/05/30 9:13:55 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 9:15:39 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Guadalupe Victoria","5","4","3","3","5","3","3","1","3","3","3","1","3","5","4","4","4","5","5","4","1","2"
"2025/05/30 9:16:12 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 9:27:07 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 9:30:23 p.m. GMT-6","","Mujer","Durango","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/30 9:37:40 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","3","1","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/30 9:43:54 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","3","3","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/30 10:23:27 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","3","1","3","4","3","3","2","3","2","3","3","3","3","2","5","5","3","3","4","4","2"
"2025/05/30 10:41:20 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","3","3","5","5","3","3"
"2025/05/30 10:45:20 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","3","5","5","1","3","4","4","5","1","1","5","4","5","5","2","5","5","5","1","1"
"2025/05/30 10:56:58 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Guadalupe Victoria","3","3","3","3","3","2","3","3","3","3","3","2","2","2","3","3","2","2","2","2","1","3"
"2025/05/30 11:37:25 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/30 11:40:49 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","4","5","4","4","4","4","3","3","5","5","5","5","5","4","5","5","3","3"
"2025/05/30 11:42:26 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 7:28:23 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 7:57:03 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 8:32:08 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","3","3","3","3","2","2","3","3","3","2","3","3","2","3","3","3","3","3","3","2","2"
"2025/05/31 12:22:24 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","4","4","4","4","2","5","4","4","5","2","2","2","2","4","4","2","5","5","5","4","2"
"2025/05/31 2:15:39 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","4","1","1","1","1","1","1","2","2","2","1","1","5","5","5","5","5","5","5","5","5"
"2025/05/31 3:01:25 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 3:11:06 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 3:13:32 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","3","3","3","3","3","2","2","2","2","3","2","3","2","2","2","3","2","2"
"2025/05/31 3:30:38 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","1","1","3","1","1","1","3","3","3","1","1","3","3","5","5","3","3","3","1","1"
"2025/05/31 3:31:17 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/05/31 3:33:23 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","4","2","3","3","2","3","4","4","4","2","2","4","2","3","4","4","3","4","4","4","4"
"2025/05/31 3:35:58 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 4:04:22 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 4:06:22 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 4:10:00 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","3","3","3","3","3","1","2","3","3","4","4","4","4","4","3","3","4","4"
"2025/05/31 4:20:53 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","5","5","5","5","1","5","5","5","5","5","5","5","5","5","5","4"
"2025/05/31 4:47:45 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","5","5","5","5","5","3","5","5","5","5","1","5","5","5","5","5","5","3","5","5","3"
"2025/05/31 5:23:19 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 5:26:03 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","3","1","1","3","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/31 5:52:34 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","5","5","5","5","4","4","4","4","4","4","5","5","5","4","5","5","5","5","5","5","5","5"
"2025/05/31 6:01:18 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 6:24:50 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","4","4","3","3","3","3","3","4","4","4","3","4","3","3","4","4","4","4","4","4","4","4"
"2025/05/31 6:41:38 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 7:24:12 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 7:26:52 p.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","4","3","5","3","3","4","4","4","3","2","1","1","3","3","4","4","5","4","5","5","1","4"
"2025/05/31 7:38:59 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 7:53:08 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3"
"2025/05/31 7:58:19 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","3","3","3","2","2","2","2","3","3","3","2","3","3","4","4","3","3","3","2","3"
"2025/05/31 8:00:08 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 8:01:47 p.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/05/31 8:06:52 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2025/05/31 8:10:04 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","3","2","2","3","1","4","4","4","3","3","2","2","5","4","3","3","3","3","3","2","4"
"2025/05/31 8:29:38 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 9:03:48 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 9:17:59 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 11:06:39 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/31 11:58:32 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01 2:02:37 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","2","3","4","1","1","1","1","1","1","5","1","1","1","1","1","1","1","1","1","1","1"
"2025/06/01 7:21:04 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01 8:28:36 a.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01 9:58:58 a.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","5","3","2","5","3","3","3","3","5","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/06/01 10:09:50 a.m. GMT-6","A veces, ir al cuestionario","Hombre","Durango","1","5","1","1","2","4","5","1","1","1","1","5","5","5","1","1","5","5","5","3","3","4"
"2025/06/01 10:15:23 a.m. GMT-6","Sí, ir al cuestionario","Hombre","Durango","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","5","4","4","4","4"
"2025/06/01 11:58:50 a.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","4","4","4","4","4","4","4","4","4","3","3","4","4","4","4","4","3","3","3","3","3","3"
"2025/06/01 12:35:26 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01 12:55:11 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","1","1","1","1","4","5","4","5","4","4","4","3","3","4","1","1","1","1","4","2","2","3"
"2025/06/01 1:33:35 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","3","4","1","4","3","3","4","3","1","2","1","1","1","1","1","1","1","1","1","2","1","3"
"2025/06/01 1:34:42 p.m. GMT-6","A veces, ir al cuestionario","Mujer","Durango","5","5","5","5","4","5","5","5","5","5","4","5","2","5","5","5","3","3","4","3","4","3"
"2025/06/01 2:23:11 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Guadalupe Victoria","1","1","1","1","1","1","1","1","3","1","1","2","1","2","1","1","1","1","2","1","1","1"
"2025/06/01 3:24:45 p.m. GMT-6","Sí, ir al cuestionario","Mujer","Durango","4","4","5","4","4","4","4","3","5","5","5","5","5","5","5","5","5","5","4","4","5","5"
"2025/06/01 3:52:41 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/01 4:37:30 p.m. GMT-6","No, salir","","","","","","","","","","","","","","","","","","","","","","","",""
